date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:20:38	105/105	---M-Z	200	added ('OK')	text/plain	date:Sun,%2020%20Nov%202022%2017:20:51%20GMT	https://techcrunch.com/robots.txt		(from )
09:20:39	253240/253240	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Nov%202022%2017:20:51%20GMT	https://techcrunch.com/2022/11/17/can-gaming-resurrect-the-nft-market-opensea-thinks-so/	/Users/macbookair/desktop/Fredyryk%20Article/techcrunch.com/2022/11/17/can-gaming-resurrect-the-nft-market-opensea-thinks-so/index.html	(from )
09:20:41	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sun,%2020%20Nov%202022%2017:20:54%20GMT	https://techcrunch.com/2022/11/17/can-gaming-resurrect-the-nft-market-opensea-thinks-so/Trident/	/Users/macbookair/desktop/Fredyryk%20Article/techcrunch.com/2022/11/17/can-gaming-resurrect-the-nft-market-opensea-thinks-so/Trident/index.html	(from https://techcrunch.com/2022/11/17/can-gaming-resurrect-the-nft-market-opensea-thinks-so/)
09:20:41	5842/5842	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Nov%202022%2017:20:54%20GMT	http://gmpg.org/xfn/11	/Users/macbookair/desktop/Fredyryk%20Article/gmpg.org/xfn/11.html	(from https://techcrunch.com/2022/11/17/can-gaming-resurrect-the-nft-market-opensea-thinks-so/)
09:20:41	150/150	---M--	405	error ('Not%20Allowed')	text/html	date:Sun,%2020%20Nov%202022%2017:20:55%20GMT	https://techcrunch.com/xmlrpc.php	/Users/macbookair/desktop/Fredyryk%20Article/techcrunch.com/xmlrpc.php	(from https://techcrunch.com/2022/11/17/can-gaming-resurrect-the-nft-market-opensea-thinks-so/)
09:20:43	4668/4668	---MCZ	200	added ('OK')	application/javascript	etag:%22d7ad6697dbb2a4183385280b757c754c-df%22	https://s.yimg.com/aaq/pv/perf-vitals_2.0.0.js	/Users/macbookair/desktop/Fredyryk%20Article/s.yimg.com/aaq/pv/perf-vitals_2.0.0.js	(from https://techcrunch.com/2022/11/17/can-gaming-resurrect-the-nft-market-opensea-thinks-so/)
09:20:45	4768/4768	---M--	404	error ('Not%20Found%20on%20Accelerator')	text/html	date:Sun,%2020%20Nov%202022%2017:20:58%20GMT	http://s.yimg.com/oa/consent.js?tc_ver=221120	/Users/macbookair/desktop/Fredyryk%20Article/s.yimg.com/oa/consent.4a5eb.delayed	(from https://techcrunch.com/2022/11/17/can-gaming-resurrect-the-nft-market-opensea-thinks-so/)
09:20:45	4739/4739	---M--	404	error ('Not%20Found%20on%20Accelerator')	text/html	date:Sun,%2020%20Nov%202022%2017:20:58%20GMT	http://s.yimg.com/	/Users/macbookair/desktop/Fredyryk%20Article/s.yimg.com/index.html	(from https://techcrunch.com/2022/11/17/can-gaming-resurrect-the-nft-market-opensea-thinks-so/)
09:20:50	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2020%20Nov%202022%2017:21:02%20GMT	http://use.typekit.net/	/Users/macbookair/desktop/Fredyryk%20Article/use.typekit.net/index.html	(from https://techcrunch.com/2022/11/17/can-gaming-resurrect-the-nft-market-opensea-thinks-so/)
09:20:52	4751/4751	---M--	404	error ('Not%20Found%20on%20Accelerator')	text/html	date:Sun,%2020%20Nov%202022%2017:21:05%20GMT	http://jac.yahoosandbox.com/	/Users/macbookair/desktop/Fredyryk%20Article/jac.yahoosandbox.com/index.html	(from https://techcrunch.com/2022/11/17/can-gaming-resurrect-the-nft-market-opensea-thinks-so/)
